country,market,commodity,Price_Difference
Uzbekistan,National Average,Wheat (flour),-1.4
Ukraine,National Average,Wheat (flour),0.09
Ukraine,National Average,Wheat,0.010000000000000009
Russian Federation,National Average,Maize,-0.28
Russian Federation,National Average,Wheat,-0.81
Philippines,National Average,Maize (white),0.09000000000000002
Philippines,National Average,Rice,0.4
Philippines,National Average,Maize (yellow),0.28
Kazakhstan,National Average,Wheat (flour),-0.21999999999999997
Kazakhstan,National Average,Potatoes,-0.28
Kazakhstan,National Average,Beef meat,5.409999999999999
Italy,National Average,Rice,0.10000000000000003
Italy,National Average,Wheat,-4.6000000000000005
Italy,National Average,Wheat (milling soft),0.0
Israel,National Average,Wheat,-0.42
Israel,National Average,Maize,-1.61
Honduras,National Average,Maize (white),0.040000000000000036
Honduras,National Average,Beans (red),0.5900000000000001
Guatemala,National Average,Beans (black),0.77
Guatemala,National Average,Maize (white),0.0
Costa Rica,National Average,Beans (black),1.45
Costa Rica,National Average,Beans (red),1.7599999999999998
Chile,National Average,Wheat,-0.27
Chile,National Average,Maize (yellow),0.01999999999999999
